State,Top Candy,Pounds,Second Place,Pounds,Third Place,Pounds,State Total,Population (in Millions),Pounds Per Million,
AK,Twix,4908,Milky Way,4072,Blow Pops,3988,12968,0.7,18525.71429,
AL,Candy Corn,115269,Starburst,111280,Skittles,98771,325320,4.9,66391.83673,
AR,Jolly Ranchers,228645,Butterfinger,201845,Skittles,76353,506843,3,168947.6667,
AZ,Hot Tamales,751772,Hershey Kisses,732991,Snickers,682562,2167325,7.3,296893.8356,
CA,Skittles,1509827,Reese's Cups,1059223,M&M's,1009388,3578438,39.5,90593.36709,
CO,Hershey Kisses,129826,Twix,127840,Milky Way,107636,365302,5.8,62983.10345,
CT,Milky Way,2987,Almond Joy,2278,M&M's,1582,6847,3.5,1956.285714,
DC,M&M's,27546,Tootsie Pops,24725,Blow Pops,19827,72098,0.7,102997.1429,
DE,Skittles,21336,Life Savers,16703,Candy Corn,11987,50026,1,50026,
FL,Skittles,598285,Reese's Cups,501926,Starburst,410029,1510240,21.5,70243.72093,
GA,Swedish Fish,145827,Jolly Ranchers,124872,Reese's Cups,92746,363445,10.6,34287.26415,
HI,Skittles,28091,Hershey's Mini Bars,25783,Butterfinger,20974,74848,1.4,53462.85714,
IA,M&M's,67829,Reese's Cups,59726,Candy Corn,48352,175907,3.2,54970.9375,
ID,Starburst,90284,Snickers,68546,Candy Corn,39876,198706,1.8,110392.2222,
IL,Sour Patch Kids,175867,Kit Kat,139723,Starburst,121845,437435,12.7,34443.70079,
IN,Starburst,99725,Hot Tamales,95638,Jolly Ranchers,75208,270571,6.7,40383.73134,
KS,Reese's Cups,229857,M&M's,213784,Snickers,189736,633377,2.9,218405.8621,
KY,Swedish Fish,75254,Reese's Cups,50272,Hot Tamales,33748,159274,4.5,35394.22222,
LA,Lemonheads,115789,Blow Pops,101889,Reese's Cups,82675,300353,4.6,65294.13043,
MA,Sour Patch Kids,70772,Butterfinger,72838,Dubble Bubble Gum,47282,190892,6.9,27665.50725,
MD,Reese's Cups,36887,Hershey Kisses,30423,Milky Way,24817,92127,6,15354.5,
ME,Sour Patch Kids,59873,Starburst,51899,Candy Corn,33776,145548,1.3,111960,
MI,Candy Corn,115269,Starburst,111280,Skittles,98771,325320,9.9,32860.60606,
MN,Skittles,190827,Tootsie Pops,178092,Candy Corn,120938,489857,5.6,87474.46429,
MO,Milky Way,45221,Almond Joy,36782,Dubble Bubble Gum,36772,118775,6.1,19471.31148,
MS,3 Musketeers,95727,Snickers,94772,Butterfinger,68683,259182,3,86394,
MT,Dubble Bubble Gum,29773,Twix,21863,M&M's,16729,68365,1.1,62150,
NC,Reese's Cups,85779,Snickers,84322,M&M's,78772,248873,10.5,23702.19048,
ND,Candy Corn,61837,Hot Tamales,56745,Jolly Ranchers,49883,168465,0.8,210581.25,
NE,Sour Patch Kids,98486,Salt Water Taffy,89734,Twix,35620,223840,1.9,117810.5263,
NH,M&M's,69692,Starburst,59822,Jolly Ranchers,35775,165289,1.4,118063.5714,
NJ,Tootsie Pops,141782,M&M's,137992,Skittles,130098,409872,8.8,46576.36364,
NM,Jolly Ranchers,80092,Candy Corn,74637,Milky Way,60829,215558,2.1,102646.6667,
NV,Hershey Kisses,310974,Hot Tamales,286464,Candy Corn,219836,817274,3.1,263636.7742,
NY,Sour Patch Kids,150325,Hot Tamales,142677,Candy Corn,65820,358822,19.5,18401.12821,
OH,Blow Pops,170236,M&M's,156773,Starburst,140772,467781,11.7,39981.28205,
OK,Dubble Bubble Gum,19232,Skittles,14990,Snickers,12109,46331,3.9,11879.74359,
OR,M&M's,89772,Reese's Cups,80726,Candy Corn,60827,231325,4.2,55077.38095,
PA,Hershey's Mini Bars,275617,Skittles,249827,M&M's,182093,707537,12.8,55276.32813,
RI,Twix,17827,M&M's,15627,Candy Corn,12363,45817,1.1,41651.81818,
SC,Butterfinger,119664,Skittles,113847,Candy Corn,70838,304349,5.1,59676.27451,
SD,Starburst,26371,Jolly Ranchers,19217,Candy Corn,13826,59414,0.9,66015.55556,
TN,Tootsie Pops,55627,Salt Water Taffy,48888,Skittles,38991,143506,6.8,21103.82353,
TX,Starburst,984627,Reese's Cups,972849,Sour Patch Kids,659870,2617346,28.9,90565.60554,
UT,Jolly Ranchers,413099,Tootsie Pops,260378,Candy Corn,240993,914470,3.2,285771.875,
VA,Snickers,165255,Hot Tamales,150993,Tootsie Pops,99009,415257,8.5,48853.76471,
VT,Skittles,34670,M&M's,24536,Milky Way,19909,79115,0.6,131858.3333,
WA,Tootsie Pops,205882,Salt Water Taffy,180722,Skittles,90828,477432,7.6,62820,
WI,Starburst,110827,Butterfinger,98272,Hot Tamales,63829,272928,5.8,47056.55172,
WV,Hershey's Mini Bars,39812,Blow Pops,38747,Milky Way,32884,111443,1.8,61912.77778,
WY,Salt Water Taffy,25864,Reese's Cups,24790,Dubble Bubble Gum,18776,69430,0.6,115716.6667,